iter	Passed	Remaining
0	141	141237
1	142	71059
2	144	47894
3	145	36114
4	145	29051
5	146	24340
6	147	20989
7	149	18514
8	150	16571
9	151	14989
10	152	13703
11	153	12661
12	155	11784
13	156	11002
14	157	10322
15	158	9738
16	159	9231
17	160	8768
18	161	8349
19	162	7973
20	163	7632
21	165	7343
22	166	7062
23	167	6798
24	168	6555
25	168	6327
26	170	6128
27	171	5955
28	172	5776
29	173	5608
30	174	5449
31	175	5312
32	177	5190
33	178	5059
34	179	4936
35	179	4818
36	181	4715
37	182	4619
38	183	4525
39	184	4433
40	185	4345
41	186	4263
42	188	4189
43	189	4113
44	190	4038
45	191	3968
46	192	3902
47	193	3842
48	194	3784
49	195	3721
50	196	3664
51	197	3607
52	199	3564
53	200	3516
54	201	3465
55	202	3414
56	203	3368
57	204	3321
58	205	3284
59	206	3240
60	207	3200
61	208	3158
62	209	3118
63	210	3084
64	212	3055
65	213	3020
66	214	2986
67	215	2953
68	216	2921
69	217	2893
70	219	2866
71	219	2834
72	220	2802
73	221	2771
74	222	2744
75	223	2720
76	224	2695
77	225	2668
78	226	2642
79	227	2617
80	228	2595
81	230	2579
82	230	2551
83	231	2528
84	232	2506
85	233	2484
86	235	2466
87	236	2448
88	237	2429
89	238	2409
90	239	2389
91	240	2373
92	241	2359
93	243	2343
94	244	2325
95	245	2307
96	246	2292
97	247	2276
98	248	2259
99	249	2243
100	250	2225
101	250	2209
102	252	2195
103	253	2183
104	254	2170
105	255	2155
106	256	2140
107	257	2125
108	258	2116
109	260	2106
110	261	2091
111	262	2078
112	263	2064
113	264	2053
114	265	2041
115	266	2030
116	267	2017
117	268	2006
118	269	1994
119	270	1983
120	271	1973
121	272	1960
122	273	1949
123	274	1938
124	275	1927
125	276	1917
126	277	1907
127	278	1896
128	279	1885
129	280	1875
130	281	1865
131	282	1856
132	283	1847
133	284	1839
134	285	1831
135	286	1822
136	287	1813
137	289	1805
138	290	1796
139	290	1787
140	291	1778
141	292	1766
142	293	1758
143	294	1753
144	296	1745
145	296	1736
146	297	1728
147	298	1720
148	300	1714
149	301	1708
150	302	1700
151	303	1693
152	304	1685
153	305	1678
154	306	1672
155	308	1666
156	309	1659
157	309	1651
158	311	1645
159	312	1639
160	313	1631
161	313	1624
162	314	1616
163	315	1608
164	316	1601
165	317	1596
166	319	1592
167	320	1586
168	321	1579
169	322	1572
170	323	1566
171	324	1562
172	325	1556
173	326	1549
174	327	1542
175	328	1536
176	329	1530
177	330	1525
178	331	1519
179	332	1513
180	333	1508
181	334	1502
182	335	1499
183	336	1493
184	337	1488
185	338	1482
186	339	1476
187	340	1471
188	341	1467
189	342	1462
190	343	1456
191	344	1450
192	345	1445
193	346	1440
194	347	1435
195	349	1432
196	350	1427
197	351	1422
198	352	1417
199	353	1413
200	354	1408
201	355	1403
202	356	1399
203	357	1394
204	358	1389
205	359	1385
206	360	1381
207	361	1376
208	362	1371
209	363	1366
210	364	1362
211	365	1358
212	366	1354
213	367	1350
214	368	1345
215	369	1339
216	370	1335
217	371	1331
218	372	1328
219	373	1324
220	374	1319
221	375	1315
222	376	1311
223	377	1307
224	378	1303
225	379	1299
226	380	1294
227	381	1290
228	382	1287
229	383	1284
230	384	1280
231	385	1276
232	386	1272
233	387	1268
234	388	1264
235	390	1262
236	391	1258
237	392	1255
238	392	1251
239	394	1248
240	395	1245
241	396	1243
242	398	1240
243	399	1236
244	400	1234
245	402	1232
246	403	1229
247	404	1225
248	405	1221
249	406	1218
250	407	1215
251	408	1212
252	409	1209
253	410	1206
254	412	1204
255	413	1201
256	414	1197
257	415	1194
258	416	1190
259	417	1187
260	418	1184
261	419	1181
262	420	1179
263	422	1176
264	423	1175
265	425	1174
266	426	1172
267	428	1169
268	429	1166
269	430	1164
270	431	1161
271	432	1157
272	433	1155
273	435	1153
274	437	1152
275	438	1149
276	439	1146
277	440	1144
278	442	1143
279	443	1141
280	444	1138
281	446	1136
282	448	1136
283	449	1133
284	450	1130
285	451	1128
286	453	1126
287	454	1123
288	455	1120
289	456	1117
290	458	1116
291	459	1114
292	460	1111
293	461	1108
294	462	1106
295	464	1104
296	466	1103
297	467	1100
298	468	1097
299	469	1094
300	470	1092
301	471	1089
302	472	1086
303	473	1083
304	473	1079
305	474	1076
306	475	1074
307	477	1072
308	478	1069
309	479	1066
310	480	1063
311	480	1060
312	482	1058
313	483	1056
314	485	1054
315	486	1052
316	487	1049
317	488	1047
318	489	1045
319	490	1043
320	491	1040
321	492	1037
322	494	1035
323	495	1034
324	496	1031
325	497	1028
326	498	1025
327	499	1023
328	500	1021
329	501	1018
330	502	1015
331	503	1012
332	504	1010
333	505	1008
334	506	1006
335	507	1003
336	508	1001
337	509	998
338	510	995
339	512	994
340	513	991
341	514	989
342	514	986
343	515	983
344	516	980
345	517	978
346	518	976
347	519	973
348	520	970
349	521	968
350	522	965
351	523	963
352	524	961
353	525	958
354	526	956
355	527	953
356	528	951
357	529	948
358	530	946
359	531	944
360	532	942
361	533	940
362	534	937
363	536	937
364	537	934
365	538	932
366	539	930
367	540	928
368	541	926
369	542	924
370	543	922
371	544	919
372	545	917
373	546	915
374	548	913
375	549	911
376	550	909
377	551	907
378	552	905
379	553	903
380	554	901
381	555	899
382	556	897
383	557	894
384	559	893
385	560	891
386	561	889
387	562	887
388	563	884
389	564	882
390	565	881
391	566	878
392	567	876
393	568	874
394	569	872
395	570	870
